wave,horizon,total_alpha,selection_alpha,momentum_alpha,volatility_alpha,regime_alpha,exposure_alpha,residual_alpha
SmartSafe Treasury Cash Wave,365,0.0415112440624834,0.016604497624993362,0.01037781101562085,0.0041511244062483405,0.0041511244062483405,0.0041511244062483405,0.0020755622031241733
US MegaCap Core Wave,30,0.0008724067429903,0.00034896269719612003,0.000218101685747575,8.724067429903001e-05,8.724067429903001e-05,8.724067429903001e-05,4.362033714951498e-05
US MegaCap Core Wave,60,-0.0372164789827386,-0.014886591593095442,-0.00930411974568465,-0.0037216478982738605,-0.0037216478982738605,-0.0037216478982738605,-0.0018608239491369333
US MegaCap Core Wave,365,0.0813539801947029,0.03254159207788116,0.020338495048675725,0.00813539801947029,0.00813539801947029,0.00813539801947029,0.004067699009735151
US Mid/Small Growth & Semis Wave,30,0.0370022884397136,0.01480091537588544,0.0092505721099284,0.00370022884397136,0.00370022884397136,0.00370022884397136,0.0018501144219856824
US Mid/Small Growth & Semis Wave,60,0.0641648358268549,0.02566593433074196,0.016041208956713723,0.00641648358268549,0.00641648358268549,0.00641648358268549,0.003208241791342735
US Mid/Small Growth & Semis Wave,365,0.1634217830321591,0.06536871321286364,0.040855445758039774,0.01634217830321591,0.01634217830321591,0.01634217830321591,0.008171089151607941
US Small-Cap Disruptors Wave,30,0.0060153326032601,0.00240613304130404,0.001503833150815025,0.00060153326032601,0.00060153326032601,0.00060153326032601,0.0003007666301630043
US Small-Cap Disruptors Wave,60,-0.0163531932223269,-0.006541277288930759,-0.004088298305581725,-0.0016353193222326898,-0.0016353193222326898,-0.0016353193222326898,-0.0008176596611163458
US Small-Cap Disruptors Wave,365,0.1527136496905852,0.06108545987623409,0.0381784124226463,0.015271364969058522,0.015271364969058522,0.015271364969058522,0.007635682484529255
Vector Muni Ladder Wave,30,0.0086605564585864,0.00346422258343456,0.0021651391146466,0.00086605564585864,0.00086605564585864,0.00086605564585864,0.0004330278229293192
Vector Muni Ladder Wave,60,0.0122676647481925,0.0049070658992770005,0.003066916187048125,0.0012267664748192501,0.0012267664748192501,0.0012267664748192501,0.0006133832374096235
Vector Muni Ladder Wave,365,0.0424447365992588,0.01697789463970352,0.0106111841498147,0.00424447365992588,0.00424447365992588,0.00424447365992588,0.002122236829962952
Vector Treasury Ladder Wave,30,0.0023368181612453,0.0009347272644981201,0.000584204540311325,0.00023368181612453003,0.00023368181612453003,0.00023368181612453003,0.00011684090806226514
Vector Treasury Ladder Wave,60,-0.0012921808990591,-0.00051687235962364,-0.000323045224764775,-0.00012921808990591,-0.00012921808990591,-0.00012921808990591,-6.460904495295496e-05
Vector Treasury Ladder Wave,365,0.0595052742322719,0.02380210969290876,0.014876318558067975,0.00595052742322719,0.00595052742322719,0.00595052742322719,0.0029752637116136
